"variable","shapiro_residual_p","bartlett_by_condition_p"
"duration_seconds",0.00813135793898531,0.273930481121242
"final_round",1.08440611961904e-18,0.00174852185255605
"final_level",2.92916053063551e-14,0.0813027338583285
"damage_taken_rate",4.81306178358411e-25,8.94887121100855e-52
"hits_rate",3.99259369036282e-11,0.0878327199485429
"kill_rate",3.20264287157906e-21,1.56126865537749e-30
"xp_rate",4.62673931357996e-07,0.00200127307914897
"jitter_rate",1.1509029883581e-15,8.59415517818781e-08
"input_rate",8.51062586542229e-18,4.80632634203012e-14
"distance_rate",1.90177150539677e-10,0.00690349624525762
"speed_mean",1.09639739284259e-09,0.00537170857175519
"enemies_alive_mean",2.7824749910452e-07,0.00014891406614969
"nearest_enemy_dist_mean",2.5434625471577e-17,9.12017882409478e-20
"projectiles_alive_mean",,
"low_hp_ratio",1.46697969307479e-22,0
"fps_mean",2.30311787162979e-21,4.71576249522196e-15
"fps_min",1.73641269566051e-16,0.000865871095556666
"fps_drop_ratio",3.44164175863043e-19,0.139515509677664
