"variable","statistic","df","p_value"
"duration_seconds",7.41085567667233,7,0.387389887509913
"final_round",5.58997762239794,7,0.588354220556585
"final_level",15.7549628510298,7,0.0274518086719786
"damage_taken_rate",6.23283159538767,7,0.512841251466114
"hits_rate",9.10815369288379,7,0.244984075584028
"kill_rate",17.0783991429487,7,0.0168975842105695
"xp_rate",19.4973067217163,7,0.00676424333988315
"jitter_rate",11.2050028285716,7,0.129923507776064
"input_rate",15.6200374013346,7,0.0288237468578217
"distance_rate",7.31999916610771,7,0.39633909279779
"speed_mean",6.23969390801946,7,0.51205707641286
"enemies_alive_mean",7.68063569618289,7,0.3615954670149
"nearest_enemy_dist_mean",6.9208806297903,7,0.437164035207767
"projectiles_alive_mean",,7,
"low_hp_ratio",9.6623952833617,7,0.208525955988458
"fps_mean",7.82212983096393,7,0.348539466543198
"fps_min",6.59917094618698,7,0.471770889093664
"fps_drop_ratio",6.66401717787008,7,0.464679801377879
