"variable","model_family","term","estimate","std_error","statistic","p_value","rate_ratio","dispersion_ratio"
"hits_taken","quasipoisson","(Intercept)",-1.31187025613019,0.148392936302595,-8.84051686567545,1.17049521550266e-15,0.269315895372254,58.9486567833981
"hits_taken","quasipoisson","camera_shakeTRUE",-0.482421734308627,0.250573856710438,-1.92526762624766,0.0558651193875092,0.617286675892229,58.9486567833981
"hits_taken","quasipoisson","camera_zoomTRUE",-0.0201133150067708,0.228958764091696,-0.0878468884410803,0.930101764586108,0.980087608380233,58.9486567833981
"hits_taken","quasipoisson","camera_recoilTRUE",-0.309136048985574,0.233183102322081,-1.32572234397407,0.186710365547756,0.734080892271561,58.9486567833981
"hits_taken","quasipoisson","camera_shakeTRUE:camera_zoomTRUE",0.24351222327607,0.349265416597553,0.697212525787119,0.486622169626255,1.27572191124647,58.9486567833981
"hits_taken","quasipoisson","camera_shakeTRUE:camera_recoilTRUE",0.37664689714996,0.374170058724171,1.00661955270882,0.315548264180668,1.45738961008074,58.9486567833981
"hits_taken","quasipoisson","camera_zoomTRUE:camera_recoilTRUE",0.398775373877855,0.332476029690867,1.19941089963277,0.232037240420641,1.48999888834194,58.9486567833981
"hits_taken","quasipoisson","camera_shakeTRUE:camera_zoomTRUE:camera_recoilTRUE",-1.01061809698625,0.548930735422895,-1.84106669889358,0.0673547000855549,0.363993926477398,58.9486567833981
"total_kills","quasipoisson","(Intercept)",0.125577307383202,0.0942949279035879,1.33175039395119,0.184725047389626,1.13380281690141,100.207582024804
"total_kills","quasipoisson","camera_shakeTRUE",-0.290845742551135,0.149942282179833,-1.9397179923026,0.054069111759128,0.747630996773728,100.207582024804
"total_kills","quasipoisson","camera_zoomTRUE",-0.120688650172871,0.149887017160912,-0.80519749114298,0.421830467418458,0.886309869062979,100.207582024804
"total_kills","quasipoisson","camera_recoilTRUE",-0.127423628841718,0.140658615216827,-0.905907033460357,0.366267227854048,0.880360647429261,100.207582024804
"total_kills","quasipoisson","camera_shakeTRUE:camera_zoomTRUE",0.2426908320204,0.216061594340394,1.12324836240009,0.262915781857262,1.27467447466042,100.207582024804
"total_kills","quasipoisson","camera_shakeTRUE:camera_recoilTRUE",0.228550504317901,0.21871912604277,1.04494978767065,0.29752974298216,1.25677699619405,100.207582024804
"total_kills","quasipoisson","camera_zoomTRUE:camera_recoilTRUE",-0.156728379237486,0.223779829920758,-0.700368658305733,0.484654505836358,0.854936245717829,100.207582024804
"total_kills","quasipoisson","camera_shakeTRUE:camera_zoomTRUE:camera_recoilTRUE",0.177695974902071,0.321285359081593,0.553078345711185,0.580936345226216,1.19446211956351,100.207582024804
